,,Portfolio,,,,,,,,,,,,,,,,,,,Portfolio,,,,,,,,,,,,,,,,,,,
EMEA EAST,Kazakhstan,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA EAST,Kenya,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Partial,TPI - NoTO,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,6008 assestment
EMEA EAST,Kosovo,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Kuwait,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Partial,TPI - NoTO,,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,Aqua A assessment
EMEA EAST,Kyrgyzstan,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
APAC,Laos,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,currently not available,No,No,Partial,No
EMEA WEST,Latvia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Partial,No,,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,currently not available,No,No,Partial,No
EMEA EAST,Lebanon,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Partial,No,,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,No
EMEA EAST,Libya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Partial,TPI - NoTO,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,currently not available,Yes,No,Partial,IDMS assessment / CDS assessment
EMEA WEST,Lithuania,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Partial,No,,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,currently not available,No,No,Partial,No
