,,Portfolio,,,,,,,,,,,,Portoflio,,,,,,,,,,,
EMEA WEST,Spain,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Partial,No
APAC,Sri Lanka,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,no,No,No,Partial,No
EMEA EAST,Sudan,No,No,No,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,No,No,No,No,No,Yes,No,Partial,No
EMEA WEST,Sweden,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Partial,NaMng Focus
DACH,Switzerland,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No,,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Partial,No
EMEA EAST,Syrian Arab Republic,No,No,No,Yes,No,Yes,No,Yes,No,Partial,No,,No,No,No,No,Yes,No,No,No,Yes,No,Partial,No
APAC,Taiwan Province of China,Yes,FME alternative (BCM),Yes,Yes,Yes,No,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
EMEA EAST,Tajikistan,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
APAC,Thailand,Yes,FME alternative (BCM),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
EMEA EAST,Togo,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
LATAM,Trinidad and Tobago,N,No,No,No,N,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
EMEA EAST,Tunisia,Yes,No,No,Yes,Yes,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
EMEA EAST,Turkiye,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No,,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Partial,No
EMEA EAST,Turkmenistan,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
EMEA EAST,Uganda,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA EAST,Ukraine,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Partial,No,,No,No,No,No,Yes,No,No,No,Yes,Yes,Partial,No
EMEA EAST,United Arab Emirates,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No,,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Partial,No
EMEA EAST,United Republic of Tanzania,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
LATAM,Uruguay,Yes,No,No,No,Yes,No,Yes,No,Yes,Partial,Yes,,No,Yes,No,No,No,No,No,Yes,No,Yes,Partial,Yes
EMEA EAST,Uzbekistan,No,No,No,Yes,No,No,No,No,No,Partial,No,,No,No,No,No,Yes,No,No,No,No,No,Partial,No
LATAM,Venezuela,No,No,No,No,No,No,No,No,No,Partial,No,,No,No,No,No,No,No,No,No,No,No,Partial,No
APAC,Vietnam,Yes,FME alternative (BCM),Yes,Yes,Yes,No,Yes,Yes,Yes,Partial,Introduce BCM 2,,No,No,No,No,No,No,No,Yes,Yes,Yes,Partial,Introduce BCM 2
EMEA EAST,Yemen,No,No,No,Yes,No,No,No,Yes,No,Partial,No,,No,No,No,No,Yes,No,No,No,Yes,No,Partial,No
EMEA EAST,Zambia,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
EMEA EAST,Zimbabwe,Yes,No,No,No,Yes,No,No,No,Yes,Partial,No,,No,No,No,No,No,No,No,No,No,Yes,Partial,No
"United 
States",United States of America,,,,,,,,,,,,,,,,,,,,,,,,
